committee_thomas_id,bioguide_id,member_thomas_id,rank,member_name,party,title
HSAG29,R000603,02256,1,David Rouzer,majority,Chair
HSAG29,G000289,00446,2,Bob Goodlatte,majority,
HSAG29,K000362,01724,3,Steve King,majority,
HSAG29,D000616,02062,4,Scott DesJarlais,majority,
HSAG29,H001053,02032,5,Vicky Hartzler,majority,
HSAG29,Y000065,02115,6,Ted S. Yoho,majority,
HSAG29,N000189,02275,7,Dan Newhouse,majority,
HSAG29,K000388,02294,8,Trent Kelly,majority,
HSAG29,C001059,01774,1,Jim Costa,minority,Ranking Member
HSAG29,P000610,02274,2,Stacey E. Plaskett,minority,
HSAG29,V000132,02167,3,Filemon Vela,minority,
HSAG29,N000127,00867,4,Richard M. Nolan,minority,
HSAG29,B001286,02127,5,Cheri Bustos,minority,
HSED13,F000450,01791,1,Virginia Foxx,majority,Chair
HSED13,R000582,01954,2,David P. Roe,majority,
HSED13,S000018,01009,3,Matt Salmon,majority,
HSED13,G000558,01922,4,Brett Guthrie,majority,
HSED13,B001269,02054,5,Lou Barletta,majority,
HSED13,H001055,02040,6,Joseph J. Heck,majority,
HSED13,M001189,02130,7,Luke Messer,majority,
HSED13,B001289,02197,8,Bradley Byrne,majority,
HSED13,C001107,02235,9,Carlos Curbelo,majority,
HSED13,S001196,02263,10,Elise M. Stefanik,majority,
HSED13,A000372,02239,11,Rick W. Allen,majority,
HSED13,H000636,01490,1,Rubén Hinojosa,minority,Ranking Member
HSED13,J000294,02149,2,Hakeem S. Jeffries,minority,
HSED13,A000370,02201,3,Alma S. Adams,minority,
HSED13,D000623,02227,4,Mark DeSaulnier,minority,
HSED13,D000598,01641,5,Susan A. Davis,minority,
HSED13,G000551,01708,6,Raúl M. Grijalva,minority,
HSED13,C001069,01836,7,Joe Courtney,minority,
HSED13,P000598,01910,8,Jared Polis,minority,
SSEV09,R000605,02288,1,Mike Rounds,majority,Chairman
SSEV09,V000127,01609,2,David Vitter,majority,
SSEV09,C000880,00250,3,Mike Crapo,majority,Ranking Member
SSEV09,B001236,01687,4,John Boozman,majority,
SSEV09,S001198,02290,5,Daniel Sullivan,majority,
SSEV09,I000024,00583,6,James M. Inhofe,majority,Ex Officio
SSEV09,M000133,00735,1,Edward J. Markey,minority,Ranking Member
SSEV09,C000174,00179,2,Thomas R. Carper,minority,
SSEV09,M001176,01900,3,Jeff Merkley,minority,
SSEV09,B001288,02194,4,Cory A. Booker,minority,
SSEV09,B000711,00116,5,Barbara Boxer,minority,Ex Officio
HSIF17,B001248,01751,1,Michael C. Burgess,majority,Chair
HSIF17,L000567,01936,2,Leonard Lance,majority,Vice Chair
HSIF17,B001243,01748,3,Marsha Blackburn,majority,
HSIF17,H001045,01933,4,Gregg Harper,majority,
HSIF17,G000558,01922,5,Brett Guthrie,majority,
HSIF17,O000168,01955,6,Pete Olson,majority,
HSIF17,P000602,02022,7,Mike Pompeo,majority,
HSIF17,K000378,02014,8,Adam Kinzinger,majority,
HSIF17,B001257,01838,9,Gus M. Bilirakis,majority,
HSIF17,B001284,02129,10,Susan W. Brooks,majority,
HSIF17,M001190,02156,11,Markwayne Mullin,majority,
HSIF17,U000031,01177,12,Fred Upton,majority,Ex Officio
HSIF17,S001145,01588,1,Janice D. Schakowsky,minority,Ranking Member
HSIF17,C001067,01864,2,Yvette D. Clarke,minority,
HSIF17,K000379,02172,3,Joseph P. Kennedy III,minority,
HSIF17,C001097,02107,4,Tony Cárdenas,minority,
HSIF17,R000515,01003,5,Bobby L. Rush,minority,
HSIF17,B001251,01761,6,G. K. Butterfield,minority,
HSIF17,W000800,01879,7,Peter Welch,minority,
HSIF17,P000034,00887,8,Frank Pallone Jr.,minority,Ex Officio
HSII,B001250,01753,1,Rob Bishop,majority,Chair
HSII,Y000033,01256,2,Don Young,majority,
HSII,G000552,01801,3,Louie Gohmert,majority,
