code,bioguide_id,party,thomas_id,title,member_name,rank
HSBA16,G000548,majority,01737,Chair,Scott Garrett,1
HSBA16,H001060,majority,02069,Vice Chair,Robert Hurt,2
HSBA16,K000210,majority,00635,,Peter T. King,3
HSBA16,R000487,majority,00998,,Edward R. Royce,4
HSBA16,N000182,majority,01758,,Randy Neugebauer,5
HSBA16,M001156,majority,01792,,Patrick T. McHenry,6
HSBA16,H001058,majority,02028,,Bill Huizenga,7
HSBA16,D000614,majority,02072,,Sean P. Duffy,8
HSBA16,S001187,majority,02047,,Steve Stivers,9
HSBA16,F000458,majority,02064,,Stephen Lee Fincher,10
HSBA16,H001059,majority,02015,,Randy Hultgren,11
HSBA16,R000593,majority,02003,,Dennis A. Ross,12
HSBA16,W000812,majority,02137,,Ann Wagner,13
HSBA16,M001189,majority,02130,,Luke Messer,14
HSBA16,S001183,majority,01994,,David Schweikert,15
HSBA16,P000611,majority,02247,,Bruce Poliquin,16
HSBA16,H001072,majority,02223,,J. French Hill,17
HSBA16,H001036,majority,01749,Ex Officio,Jeb Hensarling,18
HSBA16,M000087,minority,00729,Ranking Member,Carolyn B. Maloney,1
HSBA16,S000344,minority,01526,,Brad Sherman,2
HSBA16,H000636,minority,01490,,Rubén Hinojosa,3
HSBA16,L000562,minority,01686,,Stephen F. Lynch,4
HSBA16,P000593,minority,01835,,Ed Perlmutter,5
HSBA16,S001157,minority,01722,,David Scott,6
HSBA16,H001047,minority,01913,,James A. Himes,7
HSBA16,E000288,minority,01857,,Keith Ellison,8
HSBA16,F000454,minority,01888,,Bill Foster,9
HSBA16,M001137,minority,01506,,Gregory W. Meeks,10
HSBA16,C001083,minority,01999,,John C. Carney Jr.,11
HSBA16,S001185,minority,01988,,Terri A. Sewell,12
HSBA16,M001191,minority,02117,,Patrick Murphy,13
HSBA16,W000187,minority,01205,Ex Officio,Maxine Waters,14
SSHR11,I000055,majority,01608,Chairman,Johnny Isakson,1
SSHR11,P000603,majority,02082,,Rand Paul,2
SSHR11,S001184,majority,02056,,Tim Scott,3
SSHR11,K000360,majority,01647,,Mark Kirk,4
SSHR11,R000307,majority,00968,,Pat Roberts,5
SSHR11,C001075,majority,01925,,Bill Cassidy,6
SSHR11,A000360,majority,01695,Ex Officio,Lamar Alexander,7
SSHR11,F000457,minority,01969,Ranking Member,Al Franken,1
