legislator_name,bioguide_id,fec_id
Sherrod Brown,B000944,H2OH13033
Sherrod Brown,B000944,S6OH00163
Maria Cantwell,C000127,S8WA00194
Maria Cantwell,C000127,H2WA01054
Benjamin L. Cardin,C000141,H6MD03177
Benjamin L. Cardin,C000141,S6MD03177
Thomas R. Carper,C000174,S8DE00079
"Robert P. Casey, Jr.",C001070,S6PA00217
Bob Corker,C001071,S6TN00216
Bob Corker,C001071,S4TN00187
Dianne Feinstein,F000062,S0CA00199
Orrin G. Hatch,H000338,S6UT00063
Orrin G. Hatch,H000338,P00003806
Amy Klobuchar,K000367,S6MN00267
Claire McCaskill,M001170,S6MO00305
Claire McCaskill,M001170,P80005721
Robert Menendez,M000639,H2NJ13075
Robert Menendez,M000639,S6NJ00289
Bill Nelson,N000032,S8FL00166
Bernard Sanders,S000033,H8VT01016
Bernard Sanders,S000033,S4VT00033
Debbie Stabenow,S000770,S8MI00281
Debbie Stabenow,S000770,H6MI08163
Jon Tester,T000464,S6MT00162
Sheldon Whitehouse,W000802,S6RI00221
John Barrasso,B001261,S6WY00068
Roger F. Wicker,W000437,H4MS01078
Roger F. Wicker,W000437,S8MS00196
Lamar Alexander,A000360,S2TN00058
Lamar Alexander,A000360,P60003225
Thad Cochran,C000567,S8MS00055
Susan M. Collins,C001035,S6ME00159
John Cornyn,C001056,S2TX00106
Richard J. Durbin,D000563,S6IL00151
Richard J. Durbin,D000563,H2IL20026
Michael B. Enzi,E000285,S6WY00126
Lindsey Graham,G000359,S0SC00149
Lindsey Graham,G000359,H4SC03087
James M. Inhofe,I000024,S4OK00083
James M. Inhofe,I000024,H6OK01102
Mitch McConnell,M000355,S2KY00012
Jeff Merkley,M001176,S8OR00207
Jack Reed,R000122,S6RI00163
Jack Reed,R000122,H0RI02071
James E. Risch,R000584,S8ID00092
Pat Roberts,R000307,S6KS00080
Pat Roberts,R000307,H0KS01016
Jeff Sessions,S001141,S6AL00195
Jeanne Shaheen,S001181,S0NH00219
Tom Udall,U000039,H8NM03097
Tom Udall,U000039,S8NM00184
Mark R. Warner,W000805,S6VA00093
Mark R. Warner,W000805,P80003023
Kirsten E. Gillibrand,G000555,H6NY20167
Kirsten E. Gillibrand,G000555,S0NY00410
Al Franken,F000457,S8MN00438
Christopher A. Coons,C001088,S0DE00092
"Joe Manchin, III",M001183,S0WV00090
Robert B. Aderholt,A000055,H6AL04098
Justin Amash,A000367,H0MI03126
Kelly Ayotte,A000368,S0NH00235
Tammy Baldwin,B001230,H8WI00018
Tammy Baldwin,B001230,S2WI00219
Lou Barletta,B001269,H2PA11098
Joe Barton,B000213,H4TX06117
Joe Barton,B000213,S4TX00094
Karen Bass,B001270,H0CA33117
Xavier Becerra,B000287,H2CA30143
Dan Benishek,B001271,H0MI01088
Michael F. Bennet,B001267,S0CO00211
Gus M. Bilirakis,B001257,H6FL09070
Rob Bishop,B001250,H2UT01094
Sanford D. Bishop Jr.,B000490,H2GA02031
Diane Black,B001273,H0TN06257
Marsha Blackburn,B001243,H2TN06030
Earl Blumenauer,B000574,H6OR03064
Richard Blumenthal,B001277,S0CT00177
Roy Blunt,B000575,H6MO07128
Roy Blunt,B000575,S0MO00183
John A. Boehner,B000589,H0OH08029
John Boozman,B001236,H2AR03176
John Boozman,B001236,S0AR00150
Madeleine Z. Bordallo,B001245,H2GU00033
Charles W. Boustany Jr.,B001255,H4LA07029
Barbara Boxer,B000711,S2CA00286
Barbara Boxer,B000711,H2CA06028
Barbara Boxer,B000711,P80003247
Kevin Brady,B000755,H6TX08100
Robert A. Brady,B001227,H8PA01153
Mo Brooks,B001274,H0AL05163
Corrine Brown,B000911,H2FL03056
Corrine Brown,B000911,S0FL00403
Vern Buchanan,B001260,H6FL13148
Larry Bucshon,B001275,H0IN08114
Michael C. Burgess,B001248,H2TX26093
Richard Burr,B001135,S4NC00089
Richard Burr,B001135,H2NC05074
G. K. Butterfield,B001251,H4NC01046
Ken Calvert,C000059,H2CA37023
Shelley Moore Capito,C001047,H0WV02138
Shelley Moore Capito,C001047,S4WV00159
Lois Capps,C001036,H8CA22089
Michael E. Capuano,C001037,H8MA08071
Michael E. Capuano,C001037,S0MA00117
John C. Carney Jr.,C001083,H0DE01017
André Carson,C001072,H8IN07184
John R. Carter,C001051,H2TX31044
Bill Cassidy,C001075,H8LA00017
Kathy Castor,C001066,H6FL11126
Kathy Castor,C001066,H6FL11134
Steve Chabot,C000266,H8OH01043
Jason Chaffetz,C001076,H8UT03089
Judy Chu,C001080,H0CA32101
David N. Cicilline,C001084,H0RI01073
Yvette D. Clarke,C001067,H4NY11138
Wm. Lacy Clay,C001049,H0MO01066
Emanuel Cleaver,C001061,H4MO05234
James E. Clyburn,C000537,H2SC02042
Daniel Coats,C000542,S0IN00053
Mike Coffman,C001077,H8CO06138
Mike Coffman,C001077,H2CO00019
Steve Cohen,C001068,H6TN09068
Tom Cole,C001053,H2OK04055
K. Michael Conaway,C001062,H4TX19136
K. Michael Conaway,C001062,H3TX19021
Gerald E. Connolly,C001078,H8VA11062
John Conyers Jr.,C000714,H6MI01028
Jim Cooper,C000754,H2TN05131
Jim Cooper,C000754,H2TN04027
Jim Cooper,C000754,S4TN00096
Jim Costa,C001059,H4CA20082
Joe Courtney,C001069,H2CT02112
Mike Crapo,C000880,S8ID00027
Mike Crapo,C000880,H2ID02034
"Eric A. ""Rick"" Crawford",C001087,H0AR01083
Ander Crenshaw,C001045,H0FL04066
Joseph Crowley,C001038,H8NY07046
Henry Cuellar,C001063,H2TX23082
John Abney Culberson,C001048,H0TX07055
Elijah E. Cummings,C000984,H6MD07160
Danny K. Davis,D000096,H4IL07037
Susan A. Davis,D000598,H0CA49055
Peter A. DeFazio,D000191,H6OR04047
Peter A. DeFazio,D000191,S6OR00151
Diana DeGette,D000197,H6CO01141
Rosa L. DeLauro,D000216,H0CT03072
Jeff Denham,D000612,H0CA19173
Charles W. Dent,D000604,H4PA15087
Scott DesJarlais,D000616,H0TN04195
Theodore E. Deutch,D000610,H0FL19080
Mario Diaz-Balart,D000600,H2FL25018
Lloyd Doggett,D000399,H4TX10028
Joe Donnelly,D000607,H4IN02101
Joe Donnelly,D000607,S2IN00091
Michael F. Doyle,D000482,H4PA18131
Sean P. Duffy,D000614,H0WI07051
Jeff Duncan,D000615,H0SC03077
John J. Duncan Jr.,D000533,H8TN02069
Donna F. Edwards,E000290,H6MD04183
Keith Ellison,E000288,H6MN05183
Renee L. Ellmers,E000291,H0NC02059
Eliot L. Engel,E000179,H8NY19058
Anna G. Eshoo,E000215,H8CA12098
Blake Farenthold,F000460,H0TX27061
Sam Farr,F000030,H4CA17021
Chaka Fattah,F000043,H2PA02055
Stephen Lee Fincher,F000458,H0TN08246
Michael G. Fitzpatrick,F000451,H4PA08074
Jeff Flake,F000444,H0AZ01184
Jeff Flake,F000444,S2AZ00141
"Charles J. ""Chuck"" Fleischmann",F000459,H0TN03254
John Fleming,F000456,H8LA04225
Bill Flores,F000461,H0TX17104
J. Randy Forbes,F000445,H2VA04052
Jeff Fortenberry,F000449,H4NE01064
Virginia Foxx,F000450,H4NC05146
Trent Franks,F000448,H4AZ04024
Rodney P. Frelinghuysen,F000372,H2NJ05014
Marcia L. Fudge,F000455,H8OH11141
John Garamendi,G000559,H0CA10149
Cory Gardner,G000562,H0CO04122
Scott Garrett,G000548,H8NJ05052
Bob Gibbs,G000563,H0OH18077
Christopher P. Gibson,G000564,H0NY20095
Louie Gohmert,G000552,H4TX04039
Bob Goodlatte,G000289,H2VA06115
Paul A. Gosar,G000565,H0AZ01259
Trey Gowdy,G000566,H0SC04257
Kay Granger,G000377,H6TX12060
Chuck Grassley,G000386,S0IA00028
